Vendedor,País,Produto,Data,Valor,Caixas Enviadas
Dotty Strutley,Índia,Barras Finas Picantes,12/08/2022,"$ 910,00",204
Gunar Cockshoot,EUA,Calda de Chocolate Orgânica,10/08/2022,"$ 2.331,00",321
Kelci Walkden,Austrália,Chocolate de Framboesa,07/06/2022,"$ 679,00",56
Jehu Rudeforth,Índia,Gotas de Chocolate Culinário,06/06/2022,"$ 2.086,00",74
Karlen McCaffrey,Nova Zelândia,Gotas de Chocolate Culinário,05/04/2022,"$ 5.012,00",189
Wilone O'Kielt,EUA,Pedacinhos 50% Cacau,18/04/2022,"$ 4.501,00",131
Andria Kimpton,Índia,Pedacinhos 50% Cacau,31/01/2022,"$ 13.482,00",15
Madelene Upcott,EUA,Gotas de Chocolate Culinário,22/08/2022,"$ 5.621,00",140
Jehu Rudeforth,Austrália,99% Cacau Puro,25/02/2022,"$ 10.486,00",198
Jan Morforth,Austrália,Chocolate de Menta com Flocos,22/02/2022,"$ 17.626,00",103
Oby Sorrel,Nova Zelândia,Barras de Chocolate ao Leite,12/01/2022,"$ 4.494,00",187
Brien Boise,Reino Unido,Chocolate com Amêndoas,25/05/2022,"$ 105,00",125
Kelci Walkden,Índia,Chocolate Salgado Suave,01/02/2022,"$ 2.464,00",8
Rafaelita Blaksland,Reino Unido,Eclairs,27/04/2022,"$ 1.379,00",70
Gigi Bohling,EUA,Chocolate Salgado Suave,22/07/2022,"$ 2.583,00",126
Curtice Advani,Nova Zelândia,Chocolate de Menta com Flocos,26/01/2022,"$ 3.220,00",265
Curtice Advani,EUA,Chocolate de Menta com Flocos,24/08/2022,"$ 4.802,00",296
Madelene Upcott,Nova Zelândia,Barras de Frutas e Castanhas,18/01/2022,"$ 5.677,00",21
Karlen McCaffrey,Índia,Barras 85% Cacau,30/03/2022,"$ 945,00",83
Ches Bonnell,Austrália,Barras Recheadas com Caramelo,17/01/2022,"$ 8.757,00",162
Kelci Walkden,EUA,Barras de Frutas e Castanhas,17/02/2022,"$ 4.816,00",145
Kelci Walkden,Canadá,Cubos de Manteiga de Amendoim,08/04/2022,"$ 7.532,00",44
Gigi Bohling,Canadá,Chocolate para Beber,06/07/2022,"$ 3.549,00",82
Husein Augar,Índia,Barras de Frutas e Castanhas,04/04/2022,"$ 4.340,00",226
Jan Morforth,Nova Zelândia,Calda de Chocolate Orgânica,02/03/2022,"$ 1.799,00",207
Gigi Bohling,Nova Zelândia,Chocolate de Framboesa,09/08/2022,"$ 1.127,00",176
Dennison Crosswaite,Austrália,Barras de Chocolate ao Leite,09/06/2022,"$ 10.038,00",286
Ches Bonnell,Reino Unido,Barras Recheadas com Caramelo,02/06/2022,"$ 2.926,00",300
Van Tuxwell,EUA,Barras de Frutas e Castanhas,05/07/2022,"$ 6.279,00",235
Andria Kimpton,Canadá,Eclairs,11/08/2022,"$ 308,00",125
Madelene Upcott,Índia,Amêndoas Cobertas com Chocolate,11/02/2022,"$ 3.500,00",145
Kelci Walkden,Nova Zelândia,Barras Finas Picantes,11/08/2022,"$ 658,00",65
Roddy Speechley,Austrália,Chocolate para Beber,12/05/2022,"$ 12.565,00",102
Wilone O'Kielt,EUA,Barras de Chocolate ao Leite,15/07/2022,"$ 5.012,00",93
Andria Kimpton,Índia,Calda de Chocolate Orgânica,18/01/2022,"$ 3.955,00",134
Madelene Upcott,Reino Unido,Barras de Frutas e Castanhas,05/01/2022,"$ 8.512,00",189
Curtice Advani,Austrália,Pedacinhos 50% Cacau,29/06/2022,"$ 504,00",232
Brien Boise,Canadá,Chocolate de Framboesa,14/06/2022,"$ 2.800,00",45
Gunar Cockshoot,Índia,Chocolate de Menta com Flocos,08/08/2022,"$ 4.256,00",67
Dennison Crosswaite,Índia,Chocolate de Menta com Flocos,23/03/2022,"$ 13.573,00",138
Barr Faughny,Índia,Barras Recheadas com Caramelo,04/01/2022,"$ 6.566,00",99
Brien Boise,Índia,Barras de Chocolate ao Leite,22/02/2022,"$ 13.503,00",251
Beverie Moffet,Reino Unido,Barras Finas Picantes,17/02/2022,"$ 8.680,00",252
Barr Faughny,EUA,Chocolate com Amêndoas,03/02/2022,"$ 385,00",78
Van Tuxwell,Canadá,Chocolate de Framboesa,17/03/2022,"$ 1.267,00",130
Wilone O'Kielt,Austrália,Gotas de Chocolate Culinário,25/01/2022,"$ 2.961,00",154
Brien Boise,Austrália,Barras de Chocolate ao Leite,27/07/2022,"$ 1.981,00",52
Husein Augar,Austrália,Barras de Frutas e Castanhas,28/01/2022,"$ 7.959,00",53
Madelene Upcott,Austrália,Calda de Chocolate Orgânica,05/07/2022,"$ 10.794,00",50
Van Tuxwell,Índia,Chocolate Branco,15/03/2022,"$ 1.897,00",44
Gunar Cockshoot,Canadá,Chocolate de Menta (After Nines),04/08/2022,"$ 2.744,00",200
Jan Morforth,EUA,Barras de Frutas e Castanhas,27/06/2022,"$ 4.382,00",361
Jan Morforth,Canadá,Chocolate de Menta (After Nines),13/07/2022,"$ 4.515,00",172
Barr Faughny,Nova Zelândia,Chocolate com Mel de Manuka,24/02/2022,"$ 5.474,00",239
Karlen McCaffrey,Nova Zelândia,Barras 85% Cacau,28/06/2022,"$ 6.069,00",55
Oby Sorrel,Austrália,Barras 85% Cacau,30/06/2022,"$ 6.944,00",27
Curtice Advani,Canadá,Amêndoas Cobertas com Chocolate,18/08/2022,"$ 5.859,00",7
Kaine Padly,Índia,Pedacinhos 70% Cacau,24/01/2022,"$ 12.173,00",301
Beverie Moffet,EUA,Chocolate Branco,11/03/2022,"$ 5.292,00",134
Ches Bonnell,Nova Zelândia,Chocolate de Menta (After Nines),23/06/2022,"$ 5.705,00",350
Husein Augar,Índia,Barras Finas Picantes,22/08/2022,"$ 2.492,00",33
Gunar Cockshoot,Canadá,Pedacinhos 50% Cacau,04/01/2022,"$ 3.024,00",23
Curtice Advani,Índia,Barras de Chocolate ao Leite,05/04/2022,"$ 3.437,00",201
Beverie Moffet,Índia,Barras de Chocolate ao Leite,15/04/2022,"$ 1.869,00",323
Husein Augar,Austrália,Chocolate Branco,11/05/2022,"$ 3.171,00",220
Andria Kimpton,Canadá,Chocolate com Mel de Manuka,21/07/2022,"$ 4.858,00",488
Jan Morforth,Nova Zelândia,Chocolate de Laranja,11/02/2022,"$ 1.225,00",84
Andria Kimpton,Canadá,Chocolate Salgado Suave,08/07/2022,"$ 1.155,00",79
Gunar Cockshoot,Reino Unido,Chocolate de Framboesa,11/08/2022,"$ 6.811,00",344
Husein Augar,Nova Zelândia,Chocolate de Menta (After Nines),04/08/2022,"$ 6.433,00",7
Andria Kimpton,Nova Zelândia,Chocolate de Laranja,14/06/2022,"$ 8.169,00",88
Dennison Crosswaite,Reino Unido,Gotas de Chocolate Culinário,17/01/2022,"$ 2.275,00",275
Jehu Rudeforth,Canadá,Chocolate de Laranja,23/06/2022,"$ 3.857,00",512
Jehu Rudeforth,Reino Unido,Chocolate Salgado Suave,24/08/2022,"$ 1.463,00",113
Andria Kimpton,Reino Unido,Barras Recheadas com Caramelo,07/06/2022,"$ 7.924,00",275
Jan Morforth,Reino Unido,Chocolate Branco,22/06/2022,"$ 8.799,00",47
Dotty Strutley,EUA,Barras de Frutas e Castanhas,13/07/2022,"$ 2.898,00",276
Kelci Walkden,Reino Unido,Amêndoas Cobertas com Chocolate,24/05/2022,"$ 9.506,00",212
Gunar Cockshoot,Nova Zelândia,Chocolate de Menta (After Nines),09/08/2022,"$ 7.175,00",145
Kaine Padly,Canadá,Barras 85% Cacau,06/04/2022,"$ 1.729,00",31
Jan Morforth,Nova Zelândia,Chocolate com Mel de Manuka,28/07/2022,"$ 1.589,00",271
Gunar Cockshoot,Nova Zelândia,Chocolate de Framboesa,24/08/2022,"$ 630,00",52
Van Tuxwell,Austrália,99% Cacau Puro,17/01/2022,"$ 112,00",128
Curtice Advani,EUA,Chocolate para Beber,07/02/2022,"$ 5.187,00",142
Brien Boise,Austrália,Barras Finas Picantes,09/05/2022,"$ 6.223,00",256
Mallorie Waber,Nova Zelândia,Barras 85% Cacau,06/06/2022,"$ 7.714,00",106
Wilone O'Kielt,EUA,Amêndoas Cobertas com Chocolate,06/06/2022,"$ 9.457,00",6
Beverie Moffet,Nova Zelândia,Calda de Chocolate Orgânica,24/05/2022,"$ 6.678,00",226
Gunar Cockshoot,Reino Unido,Pedacinhos 50% Cacau,13/01/2022,"$ 2.107,00",121
Marney O'Breen,EUA,Chocolate de Framboesa,23/05/2022,"$ 6.069,00",151
Jehu Rudeforth,Reino Unido,Chocolate Branco,29/06/2022,"$ 1.862,00",284
Jehu Rudeforth,Nova Zelândia,Barras 85% Cacau,11/03/2022,"$ 6.972,00",89
Dotty Strutley,EUA,Barras 85% Cacau,25/04/2022,"$ 10.220,00",508
Rafaelita Blaksland,Austrália,Chocolate Salgado Suave,30/05/2022,"$ 3.969,00",243
Curtice Advani,Índia,Chocolate com Mel de Manuka,23/05/2022,"$ 1.547,00",170
Mallorie Waber,EUA,Cubos de Manteiga de Amendoim,23/05/2022,"$ 1.162,00",18
Van Tuxwell,Canadá,Cubos de Manteiga de Amendoim,24/06/2022,"$ 6.342,00",282
Kelci Walkden,Nova Zelândia,Chocolate Salgado Suave,11/03/2022,"$ 10.633,00",277
Rafaelita Blaksland,EUA,Chocolate Salgado Suave,27/07/2022,"$ 15.057,00",212
Rafaelita Blaksland,EUA,Chocolate Branco,16/08/2022,"$ 4.704,00",126
Roddy Speechley,Canadá,Chocolate Salgado Suave,07/03/2022,"$ 9.338,00",11
Curtice Advani,Nova Zelândia,Chocolate de Menta (After Nines),05/04/2022,"$ 7.959,00",30
Camilla Castle,Índia,Barras 85% Cacau,04/05/2022,"$ 9.023,00",51
Ches Bonnell,EUA,Amêndoas Cobertas com Chocolate,04/01/2022,"$ 14.525,00",92
Marney O'Breen,Austrália,Gotas de Chocolate Culinário,13/01/2022,"$ 5.810,00",101
Wilone O'Kielt,Nova Zelândia,Barras de Frutas e Castanhas,11/07/2022,"$ 6.426,00",98
Kaine Padly,Austrália,Chocolate de Menta com Flocos,17/05/2022,"$ 4.403,00",159
Camilla Castle,Nova Zelândia,Cubos de Manteiga de Amendoim,21/07/2022,"$ 1.582,00",62
Curtice Advani,Canadá,Calda de Chocolate Orgânica,22/02/2022,"$ 791,00",22
Jan Morforth,Índia,99% Cacau Puro,23/05/2022,"$ 9.100,00",187
Rafaelita Blaksland,Canadá,Chocolate para Beber,12/07/2022,"$ 9.884,00",200
Jan Morforth,Reino Unido,Chocolate de Laranja,15/06/2022,"$ 3.780,00",201
Barr Faughny,Nova Zelândia,Pedacinhos 50% Cacau,23/06/2022,"$ 4.557,00",308
Curtice Advani,Austrália,Eclairs,25/03/2022,"$ 5.796,00",55
Jan Morforth,Índia,Barras Recheadas com Caramelo,04/07/2022,"$ 84,00",153
Andria Kimpton,Reino Unido,Chocolate Branco,12/05/2022,"$ 9.037,00",101
Camilla Castle,Nova Zelândia,Chocolate de Framboesa,04/04/2022,"$ 4.746,00",137
Madelene Upcott,Austrália,Chocolate de Laranja,15/04/2022,"$ 6.713,00",398
Roddy Speechley,Canadá,Eclairs,08/03/2022,"$ 6.237,00",88
Karlen McCaffrey,Índia,Chocolate Branco,17/01/2022,"$ 7.483,00",232
Wilone O'Kielt,Índia,Chocolate de Menta com Flocos,22/08/2022,"$ 1.309,00",51
Andria Kimpton,Reino Unido,99% Cacau Puro,25/07/2022,"$ 1.155,00",66
Marney O'Breen,Reino Unido,Pedacinhos 50% Cacau,14/06/2022,"$ 2.989,00",124
Ches Bonnell,Índia,Amêndoas Cobertas com Chocolate,05/04/2022,"$ 9.625,00",78
Madelene Upcott,Reino Unido,Chocolate de Framboesa,26/08/2022,"$ 7.357,00",341
Wilone O'Kielt,Austrália,Pedacinhos 50% Cacau,03/08/2022,"$ 10.031,00",114
Gigi Bohling,Canadá,Chocolate Branco,11/07/2022,"$ 6.587,00",4
Wilone O'Kielt,Nova Zelândia,Eclairs,11/03/2022,"$ 3.311,00",22
Brien Boise,Reino Unido,Cubos de Manteiga de Amendoim,10/01/2022,"$ 15.330,00",30
Roddy Speechley,Reino Unido,Gotas de Chocolate Culinário,04/04/2022,"$ 14.028,00",351
Karlen McCaffrey,Austrália,Pedacinhos 50% Cacau,17/01/2022,"$ 6.678,00",708
Marney O'Breen,Nova Zelândia,Calda de Chocolate Orgânica,08/07/2022,"$ 8.624,00",50
Jan Morforth,Reino Unido,Calda de Chocolate Orgânica,12/04/2022,"$ 1.197,00",356
Rafaelita Blaksland,Canadá,Barras de Frutas e Castanhas,24/08/2022,"$ 483,00",185
Ches Bonnell,Reino Unido,Amêndoas Cobertas com Chocolate,07/06/2022,"$ 1.687,00",236
Gunar Cockshoot,Canadá,Chocolate com Amêndoas,28/07/2022,"$ 1.309,00",30
Husein Augar,EUA,99% Cacau Puro,21/02/2022,"$ 9.534,00",111
Dennison Crosswaite,Canadá,Chocolate de Menta com Flocos,08/04/2022,"$ 1.694,00",289
Brien Boise,Reino Unido,Chocolate com Mel de Manuka,28/06/2022,"$ 70,00",103
Van Tuxwell,Reino Unido,Gotas de Chocolate Culinário,24/03/2022,"$ 2.443,00",20
Barr Faughny,Austrália,Barras Recheadas com Caramelo,29/07/2022,"$ 2.933,00",55
Dennison Crosswaite,EUA,Eclairs,25/05/2022,"$ 2.044,00",90
Gigi Bohling,Austrália,Chocolate de Framboesa,30/03/2022,"$ 6.524,00",303
Dennison Crosswaite,EUA,Calda de Chocolate Orgânica,18/07/2022,"$ 12.656,00",126
Beverie Moffet,Canadá,Chocolate de Laranja,10/05/2022,"$ 8.722,00",109
Mallorie Waber,Austrália,Amêndoas Cobertas com Chocolate,18/03/2022,"$ 15.750,00",92
Ches Bonnell,Índia,Barras Recheadas com Caramelo,15/06/2022,"$ 6.839,00",56
Van Tuxwell,Canadá,Pedacinhos 50% Cacau,12/05/2022,"$ 13.685,00",58
Kelci Walkden,Nova Zelândia,Gotas de Chocolate Culinário,23/06/2022,"$ 2.912,00",110
Beverie Moffet,Índia,Barras Finas Picantes,21/04/2022,"$ 3.339,00",171
Gigi Bohling,Austrália,Chocolate com Amêndoas,17/08/2022,"$ 910,00",117
Rafaelita Blaksland,Nova Zelândia,Eclairs,07/02/2022,"$ 19.481,00",51
Kelci Walkden,Canadá,Chocolate Salgado Suave,17/03/2022,"$ 8.099,00",118
Jan Morforth,Índia,Gotas de Chocolate Culinário,01/08/2022,"$ 13.727,00",79
Jehu Rudeforth,Austrália,Barras de Chocolate ao Leite,18/03/2022,"$ 8.659,00",29
Gigi Bohling,Canadá,Barras de Frutas e Castanhas,14/06/2022,"$ 5.782,00",103
Beverie Moffet,Reino Unido,Eclairs,22/04/2022,"$ 8.463,00",155
Marney O'Breen,Nova Zelândia,Eclairs,18/01/2022,"$ 4.914,00",31
Husein Augar,Austrália,99% Cacau Puro,26/08/2022,"$ 3.087,00",128
Gunar Cockshoot,Nova Zelândia,Barras de Frutas e Castanhas,10/06/2022,"$ 9.205,00",419
Curtice Advani,Canadá,Pedacinhos 70% Cacau,31/01/2022,"$ 2.303,00",7
Kelci Walkden,Nova Zelândia,Chocolate com Mel de Manuka,08/04/2022,"$ 1.358,00",106
Dotty Strutley,Austrália,Gotas de Chocolate Culinário,07/06/2022,"$ 3.605,00",68
Barr Faughny,Austrália,Barras 85% Cacau,10/02/2022,"$ 8.498,00",44
Beverie Moffet,Austrália,Pedacinhos 50% Cacau,16/05/2022,"$ 700,00",457
Gunar Cockshoot,Índia,Gotas de Chocolate Culinário,18/03/2022,"$ 2.191,00",524
Van Tuxwell,Austrália,Pedacinhos 50% Cacau,13/07/2022,"$ 644,00",137
Oby Sorrel,EUA,Chocolate com Mel de Manuka,25/07/2022,"$ 4.340,00",86
Van Tuxwell,Canadá,Amêndoas Cobertas com Chocolate,19/08/2022,"$ 2.282,00",296
Karlen McCaffrey,Canadá,Pedacinhos 70% Cacau,24/06/2022,"$ 7.714,00",597
Kelci Walkden,Canadá,Barras de Frutas e Castanhas,20/06/2022,"$ 826,00",149
Camilla Castle,Índia,99% Cacau Puro,02/08/2022,"$ 203,00",207
Madelene Upcott,Nova Zelândia,Pedacinhos 70% Cacau,22/02/2022,"$ 13.356,00",93
Mallorie Waber,Nova Zelândia,Chocolate de Laranja,01/02/2022,"$ 6.510,00",23
Jan Morforth,Canadá,Pedacinhos 70% Cacau,14/02/2022,"$ 5.894,00",305
Kelci Walkden,Austrália,Barras de Chocolate ao Leite,24/02/2022,"$ 7.910,00",125
Dennison Crosswaite,Índia,Chocolate de Laranja,18/03/2022,"$ 784,00",129
Husein Augar,Reino Unido,Eclairs,30/08/2022,"$ 1.750,00",252
Gigi Bohling,EUA,Cubos de Manteiga de Amendoim,09/05/2022,"$ 280,00",75
Wilone O'Kielt,EUA,Chocolate Salgado Suave,18/01/2022,"$ 504,00",87
Curtice Advani,Índia,Chocolate Branco,04/07/2022,"$ 7.154,00",342
Oby Sorrel,Nova Zelândia,Barras Finas Picantes,03/06/2022,"$ 1.617,00",13
Beverie Moffet,Nova Zelândia,Cubos de Manteiga de Amendoim,23/02/2022,"$ 10.822,00",30
Dotty Strutley,Nova Zelândia,99% Cacau Puro,09/05/2022,"$ 10.724,00",203
Kelci Walkden,Índia,Pedacinhos 70% Cacau,06/06/2022,"$ 3.640,00",106
Kelci Walkden,Índia,Chocolate para Beber,04/07/2022,"$ 7.532,00",234
Brien Boise,Nova Zelândia,Chocolate para Beber,06/06/2022,"$ 1.582,00",100
Dotty Strutley,Austrália,Chocolate com Amêndoas,13/05/2022,"$ 1.456,00",91
Wilone O'Kielt,Nova Zelândia,Calda de Chocolate Orgânica,31/01/2022,"$ 2.016,00",277
Ches Bonnell,Nova Zelândia,Barras Recheadas com Caramelo,30/06/2022,"$ 7.588,00",42
Barr Faughny,Canadá,Chocolate com Mel de Manuka,25/08/2022,"$ 3.402,00",249
Gigi Bohling,Nova Zelândia,Chocolate Salgado Suave,10/01/2022,"$ 700,00",97
Brien Boise,EUA,Chocolate com Mel de Manuka,22/08/2022,"$ 1.904,00",8
Roddy Speechley,Nova Zelândia,Barras 85% Cacau,14/04/2022,"$ 4.844,00",275
Oby Sorrel,Reino Unido,Chocolate Salgado Suave,31/05/2022,"$ 9.625,00",313
Oby Sorrel,Reino Unido,Chocolate de Framboesa,08/04/2022,"$ 4.599,00",323
Roddy Speechley,EUA,Chocolate para Beber,21/02/2022,"$ 3.003,00",155
Andria Kimpton,Austrália,Chocolate com Mel de Manuka,30/03/2022,"$ 9.744,00",377
Mallorie Waber,Índia,Chocolate de Framboesa,02/03/2022,"$ 1.400,00",2
Jehu Rudeforth,EUA,Chocolate de Laranja,28/07/2022,"$ 364,00",170
Kaine Padly,Nova Zelândia,Pedacinhos 70% Cacau,24/03/2022,"$ 7.231,00",38
Curtice Advani,Austrália,Chocolate de Menta (After Nines),11/08/2022,"$ 63,00",105
Husein Augar,Reino Unido,Chocolate com Amêndoas,17/05/2022,"$ 8.309,00",166
Kaine Padly,Canadá,Amêndoas Cobertas com Chocolate,18/05/2022,"$ 3.164,00",164
Roddy Speechley,Reino Unido,Cubos de Manteiga de Amendoim,17/08/2022,"$ 5.691,00",171
Ches Bonnell,Nova Zelândia,Eclairs,04/04/2022,"$ 490,00",49
Brien Boise,Índia,Barras 85% Cacau,09/08/2022,"$ 18.032,00",205
Brien Boise,Nova Zelândia,Calda de Chocolate Orgânica,17/01/2022,"$ 637,00",313
Andria Kimpton,Canadá,Chocolate Branco,14/02/2022,"$ 4.067,00",29
Gigi Bohling,Nova Zelândia,Chocolate de Laranja,16/05/2022,"$ 8.204,00",307
Ches Bonnell,Canadá,Chocolate Salgado Suave,16/03/2022,"$ 9.870,00",121
Husein Augar,Canadá,Pedacinhos 70% Cacau,31/01/2022,"$ 5.131,00",285
Barr Faughny,Canadá,Calda de Chocolate Orgânica,10/03/2022,"$ 1.141,00",205
Oby Sorrel,Reino Unido,Calda de Chocolate Orgânica,30/06/2022,"$ 7.980,00",157
Van Tuxwell,Nova Zelândia,Eclairs,01/03/2022,"$ 5.229,00",182
Mallorie Waber,Reino Unido,Chocolate para Beber,27/05/2022,"$ 3.423,00",100
Oby Sorrel,Reino Unido,Barras de Chocolate ao Leite,11/07/2022,"$ 6.468,00",223
Karlen McCaffrey,Nova Zelândia,Chocolate de Menta com Flocos,02/03/2022,"$ 4.326,00",61
Jehu Rudeforth,EUA,Chocolate de Framboesa,04/03/2022,"$ 7.154,00",133
Kelci Walkden,Reino Unido,Barras 85% Cacau,23/06/2022,"$ 3.997,00",228
Kelci Walkden,EUA,Chocolate com Amêndoas,27/01/2022,"$ 5.180,00",233
Marney O'Breen,Canadá,Chocolate de Laranja,14/01/2022,"$ 2.723,00",425
Dennison Crosswaite,Índia,Barras de Frutas e Castanhas,29/07/2022,"$ 952,00",24
Brien Boise,Canadá,Chocolate Salgado Suave,13/05/2022,"$ 5.691,00",495
Barr Faughny,Canadá,Gotas de Chocolate Culinário,03/02/2022,"$ 10.969,00",170
Brien Boise,Índia,Chocolate Salgado Suave,27/05/2022,"$ 5.964,00",26
Jan Morforth,Austrália,Chocolate para Beber,18/02/2022,"$ 2.821,00",24
Brien Boise,Índia,Barras Finas Picantes,28/01/2022,"$ 1.302,00",33
Van Tuxwell,Reino Unido,Eclairs,29/06/2022,"$ 5.474,00",109
Wilone O'Kielt,Índia,Barras Recheadas com Caramelo,13/01/2022,"$ 4.179,00",276
Jehu Rudeforth,Reino Unido,Chocolate de Menta (After Nines),27/06/2022,"$ 1.946,00",164
Barr Faughny,Canadá,Chocolate Branco,29/03/2022,"$ 4.291,00",1
Gunar Cockshoot,Índia,Calda de Chocolate Orgânica,03/06/2022,"$ 7.196,00",160
Mallorie Waber,Canadá,Chocolate Salgado Suave,21/03/2022,"$ 1.939,00",98
Mallorie Waber,Índia,Eclairs,12/04/2022,"$ 10.437,00",46
Rafaelita Blaksland,Austrália,Chocolate de Framboesa,19/01/2022,"$ 6.916,00",259
Karlen McCaffrey,Reino Unido,Pedacinhos 50% Cacau,06/04/2022,"$ 3.647,00",310
Kaine Padly,Austrália,Pedacinhos 50% Cacau,02/08/2022,"$ 8.995,00",78
Gigi Bohling,Austrália,Eclairs,12/04/2022,"$ 7.252,00",136
Oby Sorrel,Índia,Chocolate para Beber,21/07/2022,"$ 16.380,00",130
Van Tuxwell,Nova Zelândia,Gotas de Chocolate Culinário,22/03/2022,"$ 9.660,00",24
Husein Augar,Índia,Cubos de Manteiga de Amendoim,09/05/2022,"$ 4.522,00",5
Andria Kimpton,Austrália,Gotas de Chocolate Culinário,09/08/2022,"$ 329,00",109
Madelene Upcott,Canadá,Amêndoas Cobertas com Chocolate,20/07/2022,"$ 3.458,00",294
Brien Boise,Índia,Pedacinhos 70% Cacau,14/04/2022,"$ 4.641,00",413
Jehu Rudeforth,Canadá,Chocolate Branco,25/01/2022,"$ 4.627,00",136
Andria Kimpton,Austrália,Chocolate com Amêndoas,25/04/2022,"$ 3.192,00",175
Dotty Strutley,Canadá,Chocolate de Menta (After Nines),17/01/2022,"$ 252,00",237
Karlen McCaffrey,EUA,Eclairs,15/08/2022,"$ 868,00",125
Karlen McCaffrey,Canadá,Barras de Frutas e Castanhas,02/06/2022,"$ 210,00",16
Gunar Cockshoot,EUA,Barras 85% Cacau,30/06/2022,"$ 7.007,00",135
Dotty Strutley,Nova Zelândia,Chocolate de Framboesa,10/02/2022,"$ 5.845,00",91
Marney O'Breen,Canadá,Barras Recheadas com Caramelo,23/02/2022,"$ 1.372,00",614
Dennison Crosswaite,Índia,Calda de Chocolate Orgânica,27/01/2022,"$ 8.428,00",216
Camilla Castle,Reino Unido,Chocolate de Menta com Flocos,26/05/2022,"$ 4.977,00",317
Brien Boise,EUA,Pedacinhos 70% Cacau,14/04/2022,"$ 1.694,00",21
Madelene Upcott,Austrália,99% Cacau Puro,01/08/2022,"$ 4.326,00",154
Mallorie Waber,Austrália,Eclairs,22/08/2022,"$ 9.527,00",222
Marney O'Breen,Índia,99% Cacau Puro,22/07/2022,"$ 10.766,00",157
Husein Augar,EUA,Barras de Frutas e Castanhas,28/04/2022,"$ 1.288,00",27
Kelci Walkden,Austrália,Chocolate com Amêndoas,30/05/2022,"$ 4.879,00",350
Ches Bonnell,EUA,Barras de Chocolate ao Leite,21/07/2022,"$ 2.408,00",157
Jan Morforth,Reino Unido,Barras Recheadas com Caramelo,02/08/2022,"$ 3.094,00",468
Brien Boise,Nova Zelândia,Pedacinhos 70% Cacau,15/06/2022,"$ 7.231,00",130
Oby Sorrel,Índia,Barras 85% Cacau,05/07/2022,"$ 8.981,00",130
Kaine Padly,Nova Zelândia,Chocolate Salgado Suave,12/04/2022,"$ 7,00",518
Gigi Bohling,Austrália,Pedacinhos 70% Cacau,18/08/2022,"$ 1.372,00",105
Jan Morforth,Reino Unido,Pedacinhos 50% Cacau,12/01/2022,"$ 5.250,00",293
Gunar Cockshoot,Canadá,Chocolate Branco,11/08/2022,"$ 7.560,00",15
Jehu Rudeforth,Austrália,Barras Finas Picantes,13/01/2022,"$ 5.012,00",384
Husein Augar,Reino Unido,Gotas de Chocolate Culinário,29/04/2022,"$ 3.038,00",135
Rafaelita Blaksland,Nova Zelândia,Chocolate de Menta (After Nines),07/07/2022,"$ 1.099,00",92
Madelene Upcott,Nova Zelândia,Chocolate de Menta com Flocos,11/03/2022,"$ 7.413,00",4
Madelene Upcott,Reino Unido,Pedacinhos 70% Cacau,16/02/2022,"$ 5.397,00",239
Barr Faughny,Austrália,Calda de Chocolate Orgânica,07/01/2022,"$ 2.303,00",33
Beverie Moffet,Nova Zelândia,Chocolate para Beber,12/01/2022,"$ 1.141,00",518
Beverie Moffet,Índia,Eclairs,09/06/2022,"$ 10.325,00",147
Andria Kimpton,Índia,Eclairs,16/05/2022,"$ 2.149,00",84
Gigi Bohling,Reino Unido,Barras 85% Cacau,23/06/2022,"$ 12.362,00",94
Roddy Speechley,Reino Unido,Chocolate de Framboesa,28/01/2022,"$ 12.635,00",194
Dotty Strutley,Reino Unido,Chocolate de Menta com Flocos,14/07/2022,"$ 2.443,00",216
Barr Faughny,Canadá,Chocolate para Beber,18/04/2022,"$ 6.237,00",247
Oby Sorrel,EUA,Barras de Chocolate ao Leite,14/06/2022,"$ 1.736,00",79
Oby Sorrel,Reino Unido,Chocolate de Laranja,15/04/2022,"$ 7.315,00",237
Curtice Advani,Canadá,Cubos de Manteiga de Amendoim,19/05/2022,"$ 4.935,00",63
Gigi Bohling,Índia,Chocolate Branco,13/04/2022,"$ 1.393,00",172
Husein Augar,Canadá,Amêndoas Cobertas com Chocolate,15/08/2022,"$ 3.381,00",408
Wilone O'Kielt,Índia,Amêndoas Cobertas com Chocolate,22/08/2022,"$ 2.933,00",233
Wilone O'Kielt,Nova Zelândia,Gotas de Chocolate Culinário,22/04/2022,"$ 3.836,00",59
Kaine Padly,Reino Unido,Amêndoas Cobertas com Chocolate,03/08/2022,"$ 8.022,00",123
Dennison Crosswaite,Nova Zelândia,Calda de Chocolate Orgânica,04/01/2022,"$ 371,00",229
Kelci Walkden,Canadá,Chocolate de Menta (After Nines),13/01/2022,"$ 16.702,00",198
Van Tuxwell,Austrália,Gotas de Chocolate Culinário,11/05/2022,"$ 13.258,00",32
Husein Augar,Nova Zelândia,Cubos de Manteiga de Amendoim,16/02/2022,"$ 2.058,00",236
Kaine Padly,Reino Unido,Barras Recheadas com Caramelo,20/05/2022,"$ 10.192,00",67
Jehu Rudeforth,Reino Unido,Chocolate para Beber,03/02/2022,"$ 7.140,00",438
Beverie Moffet,Índia,Chocolate com Mel de Manuka,06/05/2022,"$ 9.835,00",167
Gunar Cockshoot,Reino Unido,Amêndoas Cobertas com Chocolate,30/06/2022,"$ 5.775,00",135
